state,rainfall,elevation,population_density,coastal_distance,historical_index,risk_level
Rajasthan,70.23,13.46,80.9,84.14,76.81,high
Gujarat,55.25,7.67,58.78,12.05,66.74,critical
Karnataka,52.2,20.31,97.88,28.82,3.48,high
Andhra Pradesh,58.54,39.98,89.93,0.0,61.5,critical
Maharashtra,98.13,30.77,50.25,10.85,64.3,critical
UP,32.65,0.0,35.2,87.93,79.04,high
Jharkhand,50.38,26.69,27.95,90.21,91.35,medium
Maharashtra,44.47,7.54,80.26,33.31,50.5,high
Maharashtra,14.86,50.94,81.87,13.2,23.78,medium
West Bengal,68.2,0.0,65.98,0.0,67.15,critical
West Bengal,48.44,20.6,50.86,33.09,54.08,high
Andhra Pradesh,48.49,6.94,68.19,13.28,41.54,high
Kerala,78.29,32.78,75.11,0.0,40.24,critical
Telangana,67.78,21.71,55.49,73.25,77.81,high
Karnataka,36.16,6.93,86.85,16.22,58.83,high
Rajasthan,64.73,49.01,38.65,100.0,10.3,medium
Rajasthan,44.06,16.2,49.98,72.03,15.2,medium
Maharashtra,28.84,12.19,82.46,0.0,84.45,critical
Telangana,34.56,23.92,89.67,83.65,53.36,high
Tamil Nadu,64.45,9.49,73.49,0.0,3.11,critical
Maharashtra,72.85,31.49,54.55,0.0,70.27,critical
Rajasthan,32.64,15.7,63.74,96.32,90.39,high
Gujarat,92.23,20.03,17.1,8.43,6.68,high
Bihar,59.56,0.0,67.77,99.96,62.9,high
Andhra Pradesh,81.64,8.69,39.11,13.33,42.06,critical
Andhra Pradesh,29.98,31.11,39.81,0.0,23.75,high
UP,43.56,10.85,69.6,69.6,67.21,high
Tamil Nadu,51.22,8.12,90.0,0.0,34.52,critical
MP,87.97,20.34,96.37,77.8,34.97,critical
MP,38.36,36.23,100.0,84.82,16.34,high
Rajasthan,62.42,19.58,67.45,93.75,31.73,high
Bihar,28.25,5.26,59.24,100.0,78.69,high
Assam,7.12,34.52,44.76,54.07,13.17,medium
Andhra Pradesh,64.34,48.12,40.25,6.76,86.94,high
Tamil Nadu,27.68,12.42,62.07,51.98,73.75,high
Karnataka,60.35,20.64,68.38,42.78,85.5,high
Karnataka,100.0,11.97,41.63,6.1,63.55,critical
Tamil Nadu,93.9,0.0,75.83,6.26,37.02,critical
Kerala,27.67,34.05,63.43,26.97,50.36,high
Maharashtra,8.6,9.35,64.26,10.23,25.35,high
Telangana,19.43,53.45,100.0,31.77,52.85,high
Jharkhand,81.04,7.57,59.04,67.68,10.55,high
Odisha,55.13,25.84,72.95,10.27,49.67,high
Rajasthan,68.05,18.56,51.51,96.21,13.2,high
Kerala,53.27,49.3,74.26,0.0,2.4,high
Tamil Nadu,68.17,0.0,48.47,0.0,57.93,critical
Rajasthan,81.91,32.3,68.95,100.0,23.73,high
Assam,58.65,9.17,59.59,70.32,23.91,high
Jharkhand,13.42,17.35,90.01,85.9,19.83,medium
Gujarat,5.13,19.24,64.49,7.62,47.89,high
Odisha,43.5,28.36,83.99,20.48,52.32,high
Odisha,59.62,0.0,64.26,15.31,56.68,critical
Telangana,57.02,51.52,79.97,83.37,1.55,medium
West Bengal,43.06,0.0,47.16,0.0,65.17,high
Tamil Nadu,69.57,11.36,84.24,0.0,30.66,critical
Assam,41.03,10.65,78.55,75.01,77.11,high
Rajasthan,45.33,25.56,46.92,95.74,13.26,medium
MP,35.58,26.99,47.45,99.09,40.26,medium
Jharkhand,54.28,29.12,27.35,89.84,21.72,medium
Andhra Pradesh,51.28,6.54,61.52,0.0,72.46,critical
Rajasthan,83.42,37.43,27.65,100.0,33.59,medium
Odisha,16.57,16.47,85.4,19.31,98.75,high
Odisha,43.95,26.96,65.62,40.82,36.84,high
Tamil Nadu,28.34,2.71,53.74,2.07,55.42,high
Assam,86.93,3.37,38.07,88.77,50.1,high
MP,27.23,50.91,73.42,100.0,46.92,medium
MP,15.99,20.53,35.76,100.0,12.14,medium
MP,85.66,66.66,94.43,91.83,78.14,high
Rajasthan,59.4,38.58,68.05,93.66,57.24,high
Jharkhand,64.37,4.09,52.77,84.61,0.0,high
MP,52.6,21.87,73.24,65.74,60.83,high
Assam,24.41,0.0,79.03,71.72,59.79,high
Bihar,97.99,2.75,64.49,65.79,85.71,critical
Karnataka,100.0,20.35,85.83,30.1,42.87,critical
UP,74.4,10.81,57.58,83.38,70.88,high
Jharkhand,100.0,36.56,25.86,75.17,74.84,high
Gujarat,31.84,29.46,72.85,0.0,78.19,high
Assam,71.0,0.0,37.18,75.66,43.07,high
Jharkhand,67.46,41.93,62.82,100.0,33.2,high
Andhra Pradesh,41.44,40.65,47.89,19.41,66.27,high
Assam,88.43,26.15,70.57,81.11,34.79,high
UP,53.96,0.0,52.52,88.41,59.68,high
Tamil Nadu,100.0,34.5,50.72,23.62,95.26,critical
Assam,39.11,6.84,70.13,32.21,11.81,high
Bihar,17.41,1.72,100.0,98.21,69.23,high
Odisha,35.31,13.39,100.0,16.7,40.93,high
Karnataka,16.81,71.38,51.47,30.23,59.66,medium
West Bengal,71.33,2.16,60.13,0.0,25.74,critical
Karnataka,73.5,34.25,65.13,29.94,100.0,critical
Assam,90.11,11.68,83.99,35.7,66.94,critical
MP,54.81,33.48,54.97,66.64,50.63,high
Tamil Nadu,51.84,18.34,52.91,0.0,36.79,high
Rajasthan,45.86,43.27,85.69,88.65,39.88,high
Andhra Pradesh,50.51,31.69,33.46,0.0,9.04,high
Assam,48.51,0.0,36.15,74.42,64.49,high
Rajasthan,75.27,51.3,87.37,95.3,42.87,high
Bihar,36.43,27.66,83.66,95.76,23.72,medium
Odisha,55.81,0.0,61.35,0.0,79.37,critical
Gujarat,100.0,6.67,48.5,1.07,65.46,critical
Odisha,17.27,21.85,90.89,35.56,28.41,high
Assam,59.98,8.39,66.43,82.78,32.29,high
Assam,26.04,0.0,71.28,56.49,9.21,high
Rajasthan,85.74,23.07,36.79,84.26,49.83,high
Telangana,59.95,42.4,48.75,53.43,41.38,high
Odisha,71.49,0.0,57.16,43.56,48.18,critical
West Bengal,42.6,0.22,84.99,12.74,66.13,critical
Tamil Nadu,81.87,33.82,90.03,14.14,65.79,critical
Rajasthan,33.52,14.09,51.02,98.15,38.0,medium
West Bengal,0.0,23.56,96.57,25.57,83.72,high
Assam,56.03,8.23,78.57,37.94,100.0,critical
UP,98.9,0.0,55.95,97.41,14.33,high
Andhra Pradesh,57.36,0.0,31.96,11.18,53.0,high
Jharkhand,49.75,31.12,55.06,81.09,61.04,high
Rajasthan,41.19,27.28,64.04,100.0,43.29,medium
Karnataka,57.96,64.14,66.25,20.76,18.45,high
MP,24.68,0.0,61.87,100.0,25.39,medium
Telangana,100.0,26.5,69.3,65.81,41.52,critical
West Bengal,100.0,0.0,48.8,25.83,68.35,critical
Gujarat,54.76,24.13,55.01,0.25,44.3,high
Maharashtra,28.83,19.97,59.25,25.58,51.04,high
Telangana,22.89,38.75,46.76,59.27,56.45,medium
Kerala,61.11,33.54,78.7,20.68,41.05,high
Assam,63.72,25.22,77.62,100.0,63.16,high
Karnataka,47.95,32.54,47.71,28.86,44.88,high
Odisha,45.34,0.0,86.99,36.78,49.47,critical
Bihar,37.87,11.58,47.58,89.58,86.43,high
Karnataka,68.02,51.78,18.38,9.16,61.82,high
Bihar,90.48,0.0,78.34,100.0,16.53,high
Karnataka,32.86,52.89,45.73,19.02,41.36,medium
Gujarat,62.16,3.8,52.2,0.0,77.29,critical
Maharashtra,62.38,31.43,55.84,22.63,43.72,high
MP,31.65,24.63,69.37,82.62,58.27,high
Maharashtra,24.77,27.36,67.96,0.0,77.2,high
West Bengal,53.14,10.15,36.27,19.0,29.99,high
Maharashtra,54.55,31.08,91.94,43.04,66.41,high
Bihar,64.89,13.6,62.22,100.0,35.1,high
Odisha,64.52,9.31,68.64,14.38,43.81,critical
Telangana,61.2,11.95,78.74,67.03,0.0,high
Gujarat,71.5,22.47,68.65,0.0,67.47,critical
Tamil Nadu,81.63,24.08,78.72,0.0,87.09,critical
Telangana,49.76,60.21,69.96,43.99,53.94,high
West Bengal,1.16,8.37,71.99,10.67,0.0,high
UP,23.36,31.74,77.88,69.81,61.39,high
Bihar,82.33,23.34,55.05,100.0,52.29,high
Bihar,73.63,9.95,55.37,75.24,13.21,high
Kerala,73.81,26.18,86.79,10.64,0.0,critical
Assam,62.49,37.22,68.32,70.95,47.45,high
Gujarat,60.97,1.9,63.64,23.99,69.18,critical
Andhra Pradesh,70.52,29.32,61.54,1.23,45.68,critical
Assam,40.13,1.66,38.75,74.83,58.13,high
Rajasthan,84.48,7.6,77.05,70.38,77.9,critical
Assam,68.89,0.0,56.93,100.0,37.78,high
MP,48.35,58.99,80.83,66.39,36.46,medium
Gujarat,42.1,21.8,72.05,0.0,29.37,high
Kerala,85.28,15.41,47.8,17.03,53.13,critical
Tamil Nadu,20.9,47.05,78.08,0.0,78.38,high
Assam,83.44,11.25,36.66,77.3,56.12,high
Kerala,26.35,59.62,55.72,5.19,41.22,medium
Odisha,60.74,2.75,78.72,0.0,41.0,critical
MP,43.84,41.07,52.03,71.34,44.86,medium
West Bengal,39.87,4.94,82.19,37.11,35.3,high
Maharashtra,11.07,30.32,39.11,13.55,52.98,medium
MP,60.43,28.76,82.41,94.17,41.53,high
Jharkhand,63.63,16.82,55.48,100.0,18.53,high
Andhra Pradesh,56.26,39.07,58.46,0.04,61.33,high
Bihar,35.91,26.56,78.17,40.01,59.43,high
Gujarat,29.19,39.5,87.38,0.0,72.05,high
Tamil Nadu,77.22,40.96,75.8,0.0,83.08,critical
Bihar,54.17,14.81,61.11,100.0,0.26,medium
MP,81.12,30.8,69.55,59.11,37.39,high
Jharkhand,28.55,16.7,41.96,100.0,15.78,medium
Andhra Pradesh,68.05,11.85,61.14,0.0,28.71,critical
Bihar,79.15,15.38,91.95,74.62,40.57,critical
Andhra Pradesh,67.19,45.56,71.3,18.48,27.38,high
Rajasthan,80.37,14.48,84.52,60.47,59.87,critical
Gujarat,40.46,4.12,11.55,0.0,48.52,high
Maharashtra,35.61,30.9,61.55,34.14,17.88,high
Telangana,47.94,3.07,64.36,44.9,53.35,high
Andhra Pradesh,95.67,1.64,15.45,0.0,77.82,critical
Andhra Pradesh,59.2,14.08,26.61,23.29,58.37,high
Gujarat,100.0,65.19,95.88,0.0,53.3,critical
Telangana,52.3,26.31,82.89,81.69,20.35,high
West Bengal,46.88,18.56,55.45,17.79,74.24,high
Telangana,61.72,20.28,64.87,59.52,1.49,high
Rajasthan,48.01,11.72,57.73,95.89,44.25,high
Telangana,80.08,36.23,81.51,40.48,45.99,high
West Bengal,48.0,9.23,66.2,0.0,0.0,high
Karnataka,19.26,7.23,41.68,52.14,49.56,medium
Gujarat,36.97,10.29,70.22,28.92,88.78,high
Bihar,67.17,37.16,84.91,88.37,66.89,high
Rajasthan,69.44,5.55,49.59,79.45,11.76,high
MP,47.87,54.36,55.5,74.95,97.55,high
UP,52.29,28.1,71.77,100.0,71.26,high
Bihar,62.57,3.16,68.85,87.12,47.64,high
Tamil Nadu,59.54,13.65,85.41,0.0,62.02,critical
Tamil Nadu,43.7,38.0,63.69,28.26,60.61,high
Tamil Nadu,65.94,28.67,52.16,20.74,36.81,high
Kerala,85.93,31.13,90.67,0.93,28.51,critical
Gujarat,71.98,11.41,85.8,0.0,48.91,critical
UP,24.46,10.66,42.3,74.51,35.99,medium
Gujarat,41.74,22.74,92.32,9.62,70.22,critical
Bihar,60.32,0.0,70.38,100.0,51.56,high
Kerala,54.53,46.94,49.86,17.25,64.53,high
Jharkhand,80.58,45.96,63.27,69.0,45.4,high
Assam,29.73,40.03,58.27,63.84,41.33,medium
Rajasthan,63.49,36.0,70.15,100.0,94.34,high
Karnataka,59.99,32.19,72.68,16.06,45.06,high
West Bengal,56.81,6.02,83.0,0.0,100.0,critical
UP,67.15,10.49,56.06,89.39,50.88,high
Maharashtra,78.81,29.72,77.23,22.94,71.25,critical
Assam,98.27,0.0,58.73,51.78,41.64,critical
Karnataka,68.26,18.64,57.24,14.09,63.29,critical
Rajasthan,100.0,23.95,49.05,99.61,67.27,high
Tamil Nadu,65.33,8.66,51.38,0.0,44.17,critical
Jharkhand,91.61,9.96,79.24,85.34,42.89,critical
Kerala,80.08,21.45,77.98,14.58,44.83,critical
West Bengal,55.75,55.67,75.31,6.43,37.11,high
Bihar,21.75,18.38,55.83,57.71,28.22,medium
Telangana,97.24,34.94,90.11,85.95,16.68,high
Odisha,34.18,11.34,73.81,31.87,23.0,high
Telangana,59.2,17.79,70.85,100.0,35.26,high
UP,49.08,0.0,64.33,57.88,36.0,high
Karnataka,4.64,61.95,47.25,54.39,31.64,medium
Kerala,60.16,37.44,78.39,0.0,6.64,high
Odisha,47.1,9.87,84.52,21.7,51.42,critical
Bihar,52.41,0.0,63.39,95.95,20.39,high
Kerala,42.53,28.72,67.47,10.27,75.4,high
Jharkhand,20.48,41.18,75.5,32.23,29.14,medium
Bihar,37.72,7.84,65.71,75.46,46.25,high
Gujarat,61.23,25.08,59.8,0.0,37.23,high
Maharashtra,27.34,18.44,95.41,0.0,88.25,critical
Karnataka,52.9,39.43,76.93,20.56,41.35,high
Andhra Pradesh,64.27,11.86,37.44,5.6,17.77,high
Odisha,30.7,0.0,15.02,0.0,100.0,high
UP,66.96,12.19,90.53,92.42,50.46,high
Andhra Pradesh,93.7,18.98,71.8,0.0,63.18,critical
Kerala,45.65,38.46,77.59,0.0,5.46,high
Telangana,9.68,12.51,100.0,87.19,97.93,high
West Bengal,75.73,0.0,100.0,0.0,53.35,critical
Tamil Nadu,53.7,4.22,61.22,30.38,56.54,high
Maharashtra,64.38,50.45,53.38,12.02,66.9,high
Telangana,23.03,9.61,65.3,81.73,40.63,medium
MP,43.0,36.44,61.36,100.0,44.19,medium
Maharashtra,60.91,23.77,49.47,61.68,41.16,high
Telangana,49.7,18.67,31.05,48.16,51.11,high
Andhra Pradesh,100.0,21.87,86.99,0.0,79.63,critical
West Bengal,81.54,0.44,77.95,42.45,71.03,critical
MP,52.73,54.86,23.42,92.01,72.31,medium
Bihar,23.05,0.0,53.13,100.0,95.78,high
Jharkhand,24.55,40.94,52.4,48.59,74.28,medium
Tamil Nadu,89.88,28.32,59.21,5.38,50.99,critical
Karnataka,84.0,48.2,35.44,19.86,0.0,high
Karnataka,72.85,46.38,75.44,0.0,100.0,critical
UP,65.75,22.63,73.45,44.72,52.96,high
Gujarat,27.1,13.03,72.89,0.0,58.94,high
MP,41.61,47.12,54.78,100.0,51.79,medium
Rajasthan,81.96,7.69,86.91,100.0,52.5,critical
Karnataka,85.4,31.21,62.39,24.23,39.1,critical
Karnataka,66.61,47.68,73.5,0.0,69.12,high
West Bengal,23.78,0.0,65.48,2.25,70.46,high
Bihar,58.64,0.0,51.94,100.0,39.73,high
Maharashtra,40.24,28.19,27.88,14.73,22.34,high
Bihar,57.54,29.16,33.43,84.73,31.68,medium
Kerala,71.58,74.04,74.55,0.0,40.82,high
Tamil Nadu,55.79,0.0,67.04,1.81,27.14,critical
Kerala,86.95,40.87,45.74,0.0,13.19,high
Karnataka,0.0,17.82,98.43,36.68,49.4,high
Gujarat,92.35,13.04,100.0,11.37,74.43,critical
Maharashtra,59.49,0.45,91.46,5.13,60.62,critical
Andhra Pradesh,52.92,36.45,90.19,7.07,27.78,high
Telangana,77.57,30.31,66.66,46.95,88.21,critical
Tamil Nadu,92.28,10.49,70.34,38.57,0.0,critical
Telangana,37.75,9.34,57.22,44.66,55.64,high
Kerala,45.67,16.27,29.81,12.68,62.72,high
Tamil Nadu,79.26,13.54,31.33,0.0,50.19,critical
Tamil Nadu,74.95,11.67,85.23,0.0,49.77,critical
Kerala,17.04,24.03,34.62,3.46,22.35,medium
Rajasthan,46.76,34.5,63.3,100.0,19.96,medium
West Bengal,77.07,0.0,100.0,37.68,38.27,critical
Gujarat,79.33,20.43,88.99,30.95,35.18,critical
Bihar,19.24,3.35,89.41,90.51,53.34,high
Telangana,59.12,23.01,45.63,100.0,50.14,high
Jharkhand,79.58,65.03,65.88,100.0,57.33,high
Odisha,15.34,0.0,55.65,0.0,28.55,high
Karnataka,83.12,22.35,58.14,0.0,17.03,critical
Gujarat,50.1,21.76,58.39,28.55,7.39,high
Jharkhand,81.35,19.55,100.0,98.73,45.18,high
UP,45.01,25.0,51.87,67.23,30.92,high
UP,57.89,15.98,49.89,63.61,44.33,high
MP,27.68,31.96,61.03,89.28,59.8,medium
Maharashtra,9.85,34.5,31.89,17.93,86.86,medium
Assam,37.41,19.72,40.65,93.45,100.0,high
Maharashtra,57.7,45.08,100.0,8.6,47.58,high
Maharashtra,36.27,17.83,100.0,25.92,44.57,high
Maharashtra,74.48,38.69,74.34,31.06,33.37,high
Odisha,100.0,13.11,30.66,0.0,48.13,critical
Jharkhand,41.92,49.09,30.53,91.97,58.29,medium
Odisha,69.16,25.21,69.51,0.0,65.89,critical
Tamil Nadu,51.45,34.84,53.97,0.0,30.99,high
Gujarat,43.02,27.86,70.93,13.01,28.51,high
UP,87.05,40.06,100.0,98.0,25.47,high
Telangana,41.74,0.0,85.07,100.0,80.21,high
Kerala,59.07,44.68,79.08,20.8,60.52,high
Bihar,100.0,0.0,69.31,62.26,22.71,critical
Maharashtra,46.84,36.07,96.85,0.0,29.29,high
Odisha,62.04,11.58,75.66,37.63,70.82,critical
Bihar,68.29,20.97,45.49,100.0,36.84,high
Bihar,7.2,18.63,81.83,63.62,53.96,medium
Jharkhand,52.44,37.87,79.7,70.84,80.31,high
Tamil Nadu,69.61,0.58,63.92,0.0,79.32,critical
Maharashtra,72.93,35.05,74.05,38.51,45.15,high
Gujarat,82.33,15.81,59.23,0.0,17.37,critical
Tamil Nadu,63.52,0.0,71.59,16.09,16.73,critical
Andhra Pradesh,56.01,31.42,62.59,0.0,45.48,high
Telangana,37.13,43.83,69.15,90.69,48.81,medium
Andhra Pradesh,61.72,4.58,41.49,0.0,33.65,high
Andhra Pradesh,100.0,3.05,64.28,8.67,53.46,critical
Maharashtra,37.76,29.2,70.07,0.0,46.63,high
West Bengal,37.06,0.0,100.0,7.46,30.71,critical
UP,67.74,29.66,92.8,100.0,50.39,high
Andhra Pradesh,41.44,1.84,52.21,15.02,53.56,high
Karnataka,45.02,55.6,57.48,20.22,69.79,high
Assam,40.7,0.0,79.54,56.41,44.92,high
Kerala,55.5,12.79,42.54,19.06,12.91,high
Maharashtra,70.37,12.63,87.73,0.0,79.96,critical
MP,34.22,32.64,92.7,95.93,29.17,medium
Karnataka,81.65,55.5,49.62,51.54,97.97,high
Kerala,68.04,25.77,59.21,3.16,30.18,high
MP,100.0,51.46,83.78,50.49,65.98,critical
Telangana,38.42,7.37,69.07,46.78,58.92,high
Karnataka,100.0,20.85,55.41,22.26,23.02,critical
Karnataka,41.98,47.63,87.86,17.27,51.05,high
Tamil Nadu,37.58,1.4,52.78,19.61,37.14,high
UP,80.73,7.93,79.45,89.14,26.23,high
Rajasthan,52.83,22.05,83.34,79.84,91.86,high
Jharkhand,39.71,46.81,52.07,96.94,50.47,medium
Karnataka,41.97,56.3,33.45,16.05,53.59,medium
Telangana,67.44,20.06,92.73,98.26,56.73,high
Rajasthan,85.27,22.28,73.67,100.0,66.51,high
Maharashtra,87.64,19.3,59.76,0.0,93.37,critical
Karnataka,28.24,33.66,47.49,0.0,85.26,high
Gujarat,96.98,0.0,82.32,25.37,58.14,critical
Kerala,69.7,54.01,38.38,20.33,44.09,high
Rajasthan,82.06,15.1,61.63,96.79,15.73,high
Kerala,94.87,50.83,36.14,6.4,19.59,high
Assam,7.72,0.0,75.45,29.73,54.16,high
Rajasthan,20.72,30.2,58.26,100.0,87.07,medium
Karnataka,26.83,63.92,71.48,10.17,0.0,medium
Assam,69.83,0.0,64.63,72.63,66.63,high
Kerala,5.08,29.18,26.37,0.0,18.7,medium
Odisha,23.92,21.86,75.41,34.72,0.0,high
Odisha,34.6,41.82,69.64,0.0,60.06,high
Andhra Pradesh,33.72,27.83,93.35,2.66,67.55,high
Andhra Pradesh,11.14,59.84,80.13,42.55,72.63,medium
Jharkhand,31.41,41.96,41.65,77.19,100.0,medium
Telangana,25.47,52.93,79.95,72.31,67.41,medium
Bihar,29.59,0.0,78.84,85.56,8.8,high
Jharkhand,64.55,68.97,48.05,71.39,6.09,medium
Gujarat,65.87,35.59,54.52,43.19,57.83,high
Karnataka,54.93,26.52,76.81,37.74,41.12,high
Telangana,17.4,13.34,41.9,96.78,29.14,medium
Bihar,56.92,2.7,57.58,87.52,25.05,high
Assam,48.28,16.05,89.74,52.53,47.08,high
UP,100.0,32.63,81.04,55.09,51.49,critical
Kerala,62.47,30.63,84.8,16.63,0.0,high
Odisha,53.1,11.2,100.0,17.42,0.0,critical
Maharashtra,41.43,29.95,69.46,0.0,56.59,high
Karnataka,82.73,40.96,39.85,18.65,38.31,high
Karnataka,83.32,52.15,80.63,13.41,56.98,critical
Bihar,72.69,19.6,51.83,93.48,28.79,high
West Bengal,55.44,0.0,33.29,5.33,100.0,critical
Tamil Nadu,67.71,0.0,84.24,24.27,58.7,critical
Tamil Nadu,62.75,27.39,66.51,41.61,58.98,high
Telangana,0.97,46.46,89.41,66.33,40.73,medium
Jharkhand,53.19,49.21,61.4,98.79,55.44,medium
Bihar,66.4,20.86,56.77,43.31,35.29,high
Kerala,32.8,55.0,37.57,0.0,56.07,medium
Telangana,100.0,16.55,85.1,67.14,22.83,critical
UP,57.57,0.0,51.15,56.52,44.72,high
Maharashtra,58.94,12.34,85.07,0.0,42.77,critical
Karnataka,100.0,54.24,88.53,0.0,67.83,critical
Assam,38.49,0.3,92.72,59.02,47.21,high
UP,71.88,15.9,82.93,98.03,34.67,high
Andhra Pradesh,58.77,30.63,62.02,2.43,43.04,high
Tamil Nadu,58.82,11.77,70.36,10.47,19.89,high
Tamil Nadu,38.91,14.62,31.48,4.94,45.11,high
Rajasthan,74.79,10.37,67.55,73.45,33.24,high
Tamil Nadu,38.92,17.42,40.29,43.18,40.34,high
Assam,37.3,0.0,77.88,74.54,48.07,high
Rajasthan,100.0,29.79,71.85,73.8,57.82,critical
Karnataka,54.63,28.46,83.5,32.59,41.29,high
Bihar,0.0,40.43,17.3,64.78,6.18,low
Rajasthan,61.08,34.34,81.47,52.41,39.66,high
Gujarat,83.66,0.0,18.96,3.44,14.99,high
Telangana,53.5,28.86,56.68,69.94,90.47,high
West Bengal,47.38,13.58,74.78,17.44,40.41,high
Odisha,46.81,3.64,74.51,4.19,0.0,high
Bihar,54.36,0.0,94.96,71.35,54.6,critical
Assam,88.01,0.0,100.0,66.84,65.94,critical
Kerala,68.02,27.61,80.0,0.0,43.69,critical
Odisha,69.59,0.0,71.2,9.53,58.06,critical
MP,62.37,37.06,75.76,68.94,28.88,high
Gujarat,56.54,44.38,94.05,6.66,24.18,high
Tamil Nadu,7.32,14.44,60.4,0.0,2.03,high
Odisha,15.21,8.55,45.43,17.36,100.0,high
West Bengal,88.39,0.0,51.08,4.81,94.61,critical
Telangana,50.86,26.26,53.9,65.12,22.29,high
Karnataka,57.98,6.62,38.37,0.0,30.63,high
MP,85.33,24.07,54.97,100.0,58.95,high
Telangana,92.8,25.69,54.21,78.46,82.1,high
Kerala,50.75,38.72,66.77,0.0,100.0,high
Andhra Pradesh,66.17,0.0,74.31,0.0,73.54,critical
West Bengal,100.0,6.23,62.48,2.94,66.98,critical
Odisha,60.76,20.09,70.89,0.0,34.27,critical
Telangana,19.01,13.94,88.71,62.57,78.25,high
Odisha,19.95,7.1,56.77,17.47,35.92,high
Telangana,24.58,12.22,81.17,99.54,88.33,high
Kerala,16.57,67.76,45.69,0.0,56.46,medium
Kerala,47.78,46.36,30.52,0.0,81.66,high
West Bengal,62.21,12.62,48.36,37.76,43.86,high
Andhra Pradesh,66.34,41.16,39.49,15.82,62.31,high
Tamil Nadu,14.56,21.09,68.27,0.0,39.15,high
Tamil Nadu,9.25,25.09,71.48,0.0,81.18,high
Karnataka,72.51,43.85,43.21,0.0,52.66,high
Andhra Pradesh,41.43,57.82,92.29,0.0,45.67,high
Kerala,50.28,39.25,80.48,0.0,39.39,high
Odisha,54.07,7.66,77.66,37.71,42.89,high
Bihar,35.49,13.76,57.92,100.0,46.07,medium
UP,53.53,20.07,58.11,68.66,5.73,high
West Bengal,5.28,5.46,76.27,0.0,66.0,high
Gujarat,29.8,16.7,63.11,19.31,1.55,high
Tamil Nadu,61.75,31.32,50.94,0.0,67.58,high
Tamil Nadu,63.11,0.13,58.51,4.56,52.04,critical
Tamil Nadu,38.84,6.11,57.87,0.0,69.03,high
Kerala,71.8,8.61,82.34,1.97,39.08,critical
Tamil Nadu,68.09,24.08,56.31,0.0,50.2,critical
Karnataka,54.81,41.17,27.94,36.96,0.14,medium
Assam,50.69,23.27,77.47,38.42,39.27,high
Maharashtra,39.04,23.58,50.89,9.48,60.82,high
Assam,14.83,15.58,41.74,98.14,29.43,medium
Gujarat,100.0,0.0,75.82,0.0,83.66,critical
Maharashtra,100.0,31.64,62.86,28.1,40.65,critical
Bihar,64.72,24.88,72.3,95.83,69.88,high
MP,10.46,49.23,79.44,69.31,100.0,medium
Kerala,100.0,41.36,63.06,16.65,52.79,critical
Karnataka,96.9,50.41,73.01,19.85,37.91,critical
Telangana,54.29,25.76,34.62,75.72,32.05,medium
West Bengal,62.86,20.54,40.97,28.03,0.0,high
Kerala,27.01,63.94,62.94,0.08,25.87,medium
Kerala,87.62,53.74,44.96,12.08,28.65,high
Assam,34.36,14.2,58.44,100.0,37.52,medium
Bihar,16.15,0.0,41.3,94.29,71.81,medium
Gujarat,28.16,40.64,72.64,7.21,90.37,high
Assam,70.81,15.16,51.07,94.99,48.61,high
Bihar,50.18,38.82,26.17,100.0,54.43,medium
Telangana,67.56,3.67,62.73,77.63,42.23,high
Gujarat,50.69,14.13,80.15,0.0,38.95,critical
Assam,63.69,21.3,63.61,72.84,91.32,high
Gujarat,75.72,36.13,44.31,0.0,37.52,high
Andhra Pradesh,84.31,18.6,56.9,8.59,41.17,critical
MP,55.77,27.93,100.0,96.42,63.19,high
Odisha,46.67,0.0,51.01,0.0,17.98,high
UP,29.9,12.56,69.83,94.23,94.77,high
Kerala,74.26,31.62,97.09,0.0,0.0,critical
Karnataka,32.77,38.31,42.59,13.22,61.66,high
Jharkhand,30.96,34.22,78.76,99.91,70.37,medium
Kerala,47.36,29.56,57.06,7.03,60.45,high
Telangana,10.07,19.77,63.9,73.08,54.84,medium
West Bengal,20.19,0.0,55.47,0.0,65.94,high
Maharashtra,100.0,18.06,67.92,0.0,14.17,critical
Rajasthan,100.0,14.21,53.71,81.5,48.93,high
Maharashtra,37.3,23.51,42.07,27.44,56.65,high
Rajasthan,70.93,16.2,66.53,95.67,65.48,high
West Bengal,59.76,9.16,41.6,10.64,74.94,high
Karnataka,9.93,33.16,57.8,0.0,55.79,high
Tamil Nadu,51.15,19.78,43.3,30.38,0.0,high
UP,52.82,16.57,55.6,85.28,23.39,high
Kerala,64.24,39.69,37.07,0.0,34.58,high
Bihar,55.58,22.8,64.06,57.78,76.25,high
West Bengal,66.22,31.22,98.65,1.16,100.0,critical
MP,55.61,56.81,77.95,87.36,53.09,high
Telangana,85.23,44.43,62.43,67.75,28.6,high
Jharkhand,50.32,56.02,44.89,100.0,29.51,medium
Odisha,90.74,5.45,68.41,24.54,63.85,critical
Andhra Pradesh,39.64,9.49,67.07,8.01,52.9,high
Assam,61.86,10.26,89.65,80.97,37.88,high
Gujarat,41.18,20.02,85.02,19.63,55.57,high
Odisha,50.97,30.58,74.93,0.0,24.63,high
Jharkhand,40.02,23.99,79.76,96.01,19.75,medium
Kerala,30.78,61.85,37.99,34.01,79.99,medium
Odisha,19.25,4.61,59.85,0.0,96.56,high
Kerala,72.96,38.35,65.21,0.0,91.0,critical
